season,nonclutch_3r,clutch_3r,shift_pp,clutch_n
2016,0.2993246677801176,0.3231357552581262,2.381108747800859,523
2017,0.329296875,0.3870192307692308,5.772235576923079,416
2018,0.32944954813653,0.35664335664335667,2.7193808506826675,429
2019,0.34614258527302005,0.35570469798657717,0.9562112713557114,596
2020,0.38267786124613345,0.38345864661654133,0.07807853704078771,532
2021,0.3440462911321807,0.34894613583138173,0.4899844699201017,427
2022,0.35991501416430594,0.36504424778761063,0.5129233623304696,452
2023,0.3429743299625203,0.3843137254901961,4.133939552767579,510
2024,0.33587786259541985,0.32426778242677823,-1.1610080168641623,478
2025,0.4109371618209364,0.4166666666666667,0.572950484573026,516
2026,0.4067772478109205,0.37945492662473795,-2.7322321186182554,477
