team,pressure,rim,short2,midrange,three
NY,Q1-Q3,0.2822085889570552,0.2116564417177914,0.0950920245398773,0.4110429447852761
NY,Q4 non-clutch,0.35064935064935066,0.11688311688311688,0.06493506493506493,0.4675324675324675
NY,Clutch,0.2647058823529412,0.23529411764705882,0.17647058823529413,0.3235294117647059
SA,Q1-Q3,0.3148148148148148,0.16358024691358025,0.046296296296296294,0.47530864197530864
SA,Q4 non-clutch,0.43283582089552236,0.11940298507462686,0.08955223880597014,0.3582089552238806
SA,Clutch,0.29411764705882354,0.14705882352941177,0.2647058823529412,0.29411764705882354
