state,baseline_3r,baseline_n,clutch_3r,clutch_n
Trailing 4+,0.3444518462124096,42032,0.44172380019588636,1021
Trailing 1-3,0.345850042532507,16458,0.3757151938970121,1573
Tied,0.3284442116291252,7636,0.31392045454545453,704
Leading 1-3,0.35156657963446475,15320,0.340691685062546,1359
Leading 4+,0.3643711606854187,37116,0.33476394849785407,699
